Episode 910	Average Score: 16.89
Episode 920	Average Score: 17.14
Episode 930	Average Score: 17.10
Episode 940	Average Score: 17.01
Episode 950	Average Score: 17.21
Episode 960	Average Score: 17.00
Episode 970	Average Score: 17.16
Episode 980	Average Score: 17.42
Episode 990	Average Score: 17.56
Episode 1000	Average Score: 17.54
Episode 1010	Average Score: 17.57
Episode 1020	Average Score: 17.30
Episode 1030	Average Score: 17.13
Episode 1040	Average Score: 17.42
Episode 1050	Average Score: 17.37
Episode 1060	Average Score: 17.34
Episode 1070	Average Score: 17.23
Episode 1080	Average Score: 17.05
Episode 1090	Average Score: 16.96
Episode 1100	Average Score: 17.08
Episode 1110	Average Score: 16.92
Episode 1120	Average Score: 17.01
Episode 1130	Average Score: 17.27
Episode 1140	Average Score: 17.08
Episode 1150	Average Score: 16.77
Episode 1160	Average Score: 16.54
Episode 1170	Average Score: 16.54
Episode 1180	Average Score: 16.36
Episode 1190	Average Score: 15.91
Episode 1200	Average Score: 15.73
Episode 1210	Average Score: 15.69
Episode 1220	Average Score: 15.68
Episode 1230	Average Score: 15.34
Episode 1240	Average Score: 15.17
Episode 1250	Average Score: 15.48
Episode 1260	Average Score: 15.34
Episode 1270	Average Score: 15.30
Episode 1280	Average Score: 15.24
Episode 1290	Average Score: 15.67
Episode 1300	Average Score: 15.92
Episode 1310	Average Score: 15.83
Episode 1320	Average Score: 15.80
Episode 1330	Average Score: 15.93
Episode 1340	Average Score: 16.21
Episode 1350	Average Score: 15.99
Episode 1360	Average Score: 16.34
Episode 1370	Average Score: 16.39
Episode 1380	Average Score: 16.76
Episode 1390	Average Score: 16.84
Episode 1400	Average Score: 16.58
Episode 1410	Average Score: 16.87
Episode 1420	Average Score: 16.73
Episode 1430	Average Score: 16.75
Episode 1440	Average Score: 16.47
Episode 1450	Average Score: 16.53
Episode 1460	Average Score: 16.47
Episode 1470	Average Score: 16.52
Episode 1480	Average Score: 16.33
Episode 1490	Average Score: 16.31
Episode 1500	Average Score: 16.26
Episode 1510	Average Score: 16.05
Episode 1520	Average Score: 16.20
Episode 1530	Average Score: 16.24
Episode 1540	Average Score: 16.49
Episode 1550	Average Score: 16.54
Episode 1560	Average Score: 16.67
Episode 1570	Average Score: 16.55
Episode 1580	Average Score: 16.54
Episode 1590	Average Score: 16.44
Episode 1600	Average Score: 16.64
Episode 1610	Average Score: 16.70
Episode 1620	Average Score: 16.88
Episode 1630	Average Score: 16.77
Episode 1640	Average Score: 16.59
Episode 1650	Average Score: 16.55
Episode 1660	Average Score: 16.40
Episode 1670	Average Score: 16.41
Episode 1680	Average Score: 16.45
Episode 1690	Average Score: 16.44
Episode 1700	Average Score: 16.15
Episode 1710	Average Score: 16.12
Episode 1720	Average Score: 15.85
Episode 1730	Average Score: 16.01
Episode 1740	Average Score: 16.02
Episode 1750	Average Score: 16.07
Episode 1760	Average Score: 16.10
Episode 1770	Average Score: 16.28
Episode 1780	Average Score: 16.05
Episode 1790	Average Score: 16.11
Episode 1800	Average Score: 16.25
Episode 1810	Average Score: 16.52
Episode 1820	Average Score: 16.67
Episode 1830	Average Score: 16.60
Episode 1840	Average Score: 16.81
Episode 1850	Average Score: 16.69
Episode 1860	Average Score: 16.54
Episode 1870	Average Score: 16.40
Episode 1880	Average Score: 16.59
Episode 1890	Average Score: 16.49
Episode 1900	Average Score: 16.59
Episode 1910	Average Score: 16.01
Episode 1920	Average Score: 15.75
Episode 1930	Average Score: 15.87
Episode 1940	Average Score: 15.65
Episode 1950	Average Score: 15.49
Episode 1960	Average Score: 15.57
Episode 1970	Average Score: 15.68
Episode 1980	Average Score: 15.70
Episode 1990	Average Score: 16.02
Episode 2000	Average Score: 15.86
