Episode 1050	Average Score: 16.49
Episode 1060	Average Score: 16.65
Episode 1070	Average Score: 16.78
Episode 1080	Average Score: 16.80
Episode 1090	Average Score: 17.17
Episode 1100	Average Score: 17.37
Episode 1110	Average Score: 17.42
Episode 1120	Average Score: 17.57
Episode 1130	Average Score: 17.64
Episode 1140	Average Score: 17.60
Episode 1150	Average Score: 17.42
Episode 1160	Average Score: 17.23
Episode 1170	Average Score: 17.18
Episode 1180	Average Score: 16.93
Episode 1190	Average Score: 16.56
Episode 1200	Average Score: 16.55
Episode 1210	Average Score: 16.32
Episode 1220	Average Score: 16.26
Episode 1230	Average Score: 16.41
Episode 1240	Average Score: 16.47
Episode 1250	Average Score: 16.55
Episode 1260	Average Score: 16.66
Episode 1270	Average Score: 16.44
Episode 1280	Average Score: 16.79
Episode 1290	Average Score: 16.84
Episode 1300	Average Score: 16.82
Episode 1310	Average Score: 16.72
Episode 1320	Average Score: 16.68
Episode 1330	Average Score: 16.55
Episode 1340	Average Score: 16.69
Episode 1350	Average Score: 16.62
Episode 1360	Average Score: 16.43
Episode 1370	Average Score: 16.75
Episode 1380	Average Score: 16.59
Episode 1390	Average Score: 16.73
Episode 1400	Average Score: 16.51
Episode 1410	Average Score: 16.53
Episode 1420	Average Score: 16.41
Episode 1430	Average Score: 16.59
Episode 1440	Average Score: 16.52
Episode 1450	Average Score: 16.67
Episode 1460	Average Score: 16.81
Episode 1470	Average Score: 16.65
Episode 1480	Average Score: 16.45
Episode 1490	Average Score: 16.33
Episode 1500	Average Score: 16.40
Episode 1510	Average Score: 16.60
Episode 1520	Average Score: 16.87
Episode 1530	Average Score: 16.67
Episode 1540	Average Score: 16.43
Episode 1550	Average Score: 16.55
Episode 1560	Average Score: 16.38
Episode 1570	Average Score: 16.28
Episode 1580	Average Score: 16.37
Episode 1590	Average Score: 16.53
Episode 1600	Average Score: 16.61
Episode 1610	Average Score: 16.78
Episode 1620	Average Score: 16.61
Episode 1630	Average Score: 16.73
Episode 1640	Average Score: 17.04
