Episode 1220	Average Score: 15.73
Episode 1230	Average Score: 15.65
Episode 1240	Average Score: 15.27
Episode 1250	Average Score: 14.97
Episode 1260	Average Score: 15.04
Episode 1270	Average Score: 14.94
Episode 1280	Average Score: 15.16
Episode 1290	Average Score: 15.15
Episode 1300	Average Score: 15.01
Episode 1310	Average Score: 14.58
Episode 1320	Average Score: 14.68
Episode 1330	Average Score: 14.76
Episode 1340	Average Score: 14.82
Episode 1350	Average Score: 14.91
Episode 1360	Average Score: 14.64
Episode 1370	Average Score: 14.74
Episode 1380	Average Score: 14.72
Episode 1390	Average Score: 14.77
Episode 1400	Average Score: 14.99
Episode 1410	Average Score: 15.05
Episode 1420	Average Score: 15.02
Episode 1430	Average Score: 14.95
Episode 1440	Average Score: 15.00
Episode 1450	Average Score: 15.24
Episode 1460	Average Score: 15.53
Episode 1470	Average Score: 15.58
Episode 1480	Average Score: 15.62
Episode 1490	Average Score: 15.90
Episode 1500	Average Score: 15.83
Episode 1510	Average Score: 16.07
Episode 1520	Average Score: 16.33
Episode 1530	Average Score: 16.31
Episode 1540	Average Score: 16.56
Episode 1550	Average Score: 16.24
Episode 1560	Average Score: 16.33
Episode 1570	Average Score: 16.21
Episode 1580	Average Score: 16.12
Episode 1590	Average Score: 16.15
Episode 1600	Average Score: 16.09
Episode 1610	Average Score: 16.01
Episode 1620	Average Score: 16.01
Episode 1630	Average Score: 16.09
Episode 1640	Average Score: 15.87
Episode 1650	Average Score: 16.00
Episode 1660	Average Score: 15.82
Episode 1670	Average Score: 16.08
Episode 1680	Average Score: 16.10
Episode 1690	Average Score: 15.80
Episode 1700	Average Score: 15.60
Episode 1710	Average Score: 15.64
Episode 1720	Average Score: 15.52
Episode 1730	Average Score: 15.46
Episode 1740	Average Score: 15.62
Episode 1750	Average Score: 15.52
Episode 1760	Average Score: 15.64
Episode 1770	Average Score: 15.53
Episode 1780	Average Score: 15.32
Episode 1790	Average Score: 15.31
Episode 1800	Average Score: 15.61
Episode 1810	Average Score: 15.64
Episode 1820	Average Score: 15.65
Episode 1830	Average Score: 15.73
Episode 1840	Average Score: 15.44
Episode 1850	Average Score: 15.30
Episode 1860	Average Score: 14.93
Episode 1870	Average Score: 14.70
Episode 1880	Average Score: 14.97
Episode 1890	Average Score: 15.11
Episode 1900	Average Score: 15.11
Episode 1910	Average Score: 15.01
Episode 1920	Average Score: 14.97
Episode 1930	Average Score: 15.10
Episode 1940	Average Score: 15.09
Episode 1950	Average Score: 15.19
Episode 1960	Average Score: 15.37
Episode 1970	Average Score: 15.50
Episode 1980	Average Score: 15.51
Episode 1990	Average Score: 15.61
Episode 2000	Average Score: 15.57
